index,producer->batch_size,producer->linger_ms,broker->num.network.threads,broker->num.io.threads,broker->queued.max.requests,broker->num.partitions,broker->num.replica.fetchers,consumer->fetch_wait_max_ms,consumer->fetch_min_bytes,consumer->batch_interval,topic->partitions,gc_collection_count,gc_collection_time,memory_heap_usage_used,memory_non_heap_usage_used,network_request_FetchConsumer_TotalTimeMs,network_request_FetchFollower_TotalTimeMs,network_request_Fetch_MessageConversionsTimeMs,network_request_Produce_TotalTimeMs,network_socket_FetchConsumer_NetworkProcessorAvgIdlePercent,network_socket_FetchConsumer_RequestHandlerAvgIdlePercent,os_open_fd_count,os_process_cpu_time,server_broker_topics_TotalFetchRequestsPerSec,server_broker_topics_TotalProduceRequestsPerSec,server_broker_topics_AllTopicsBytesIn,server_broker_topics_AllTopicsBytesOut,server_replica_fetcher_MinFetchRate,server_replica_manager_LeaderCount,server_replica_manager_PartitionCount,threading_daemon_thread_count,threading_peak_thread_count,threading_thread_count,latency_min,latency_max,latency_median,latency_mean,latency_std,latency_25th,latency_50th,latency_75th,latency_90th,latency_95th,latency_99th
221,111980,68,13,16,2264,7,1,635,26737,4,8,58742626492206.16,63258891122841.64,297.21,57.16,0.75,24.14,24.89,12.1,1.0,1.0,189.0,222587113.68,3040.7,24.2,0.44,0.49,10.62,2.0,8.0,44.0,80.0,80.0,0.33,5.45,2.74,2.74,1.14,1.81,2.74,3.69,4.27,4.55,4.91
222,38250,78,7,17,3941,6,4,870,213851,5,3,60217108833996.36,58528517161259.92,289.72,60.69,0.64,30.38,31.02,15.22,1.0,1.0,166.0,211759490.62,2.16,15.21,0.55,0.62,13.79,1.0,3.0,45.0,75.0,75.0,0.82,6.97,3.36,3.35,1.31,2.25,3.36,4.46,5.07,5.39,5.9
223,41974,61,2,19,3537,3,3,931,240378,5,6,62255871933068.57,55605352814241.05,329.57,57.92,0.86,25.71,26.57,12.9,0.99,1.0,166.0,235550453.7,6.88,25.8,0.59,0.67,11.79,2.0,6.0,48.0,77.0,77.0,0.45,6.4,3.3,3.33,1.38,2.19,3.3,4.48,5.19,5.54,5.97
224,158010,61,19,1,4250,2,1,519,184369,7,3,63661726538874.38,61301745428251.13,529.02,60.0,0.94,24.97,25.9,12.48,1.0,0.97,202.0,208598478.2,0.0,12.45,0.59,0.88,11.55,1.0,3.0,29.0,71.0,71.0,1.14,8.63,4.54,4.59,1.82,3.06,4.54,6.13,7.0,7.42,8.18
225,203943,18,13,5,3031,5,6,554,182534,3,7,62715798647003.88,60056582319707.34,466.66,65.19,0.99,147.24,148.21,37.06,0.96,0.99,210.0,343247179.92,9.25,73.96,0.43,0.49,29.91,2.0,7.0,34.0,76.0,76.0,0.26,4.99,2.06,2.07,0.88,1.34,2.06,2.79,3.24,3.45,3.81
226,179413,14,9,20,1523,4,7,700,236208,2,9,53320384071084.28,52668537250564.37,384.57,61.09,2.59,277.38,279.93,46.83,0.96,0.99,198.0,371521400.22,12344.72,139.3,0.45,0.53,35.84,3.0,9.0,48.0,85.0,85.0,0.18,4.53,1.46,1.48,0.65,0.96,1.46,1.96,2.28,2.46,3.34
227,40613,1,21,21,3063,3,4,594,95492,6,4,48312262754288.75,47969411607542.52,480.46,52.94,0.33,575.71,576.02,290.73,0.99,0.99,225.0,496626510.27,25914.5,290.88,0.17,0.2,234.84,1.0,4.0,50.0,99.0,99.0,0.33,6.72,3.66,3.59,1.66,2.2,3.66,5.04,5.78,6.05,6.38
228,148609,73,6,7,2677,4,4,375,192316,4,6,64744822784015.34,59894705254713.53,256.08,63.59,1.04,43.4,44.43,10.88,0.97,0.99,188.0,237617486.75,2.84,21.76,0.61,0.71,10.1,2.0,6.0,36.0,70.0,70.0,0.42,5.29,2.77,2.75,1.12,1.82,2.77,3.68,4.22,4.49,4.84
229,37344,29,18,17,383,4,5,100,160479,2,9,63528121736547.95,58495266966966.81,400.29,64.72,1.5,156.86,158.36,26.2,1.0,0.99,225.0,318870661.06,52.42,78.57,0.49,0.59,22.51,3.0,9.0,45.0,90.0,90.0,0.2,4.36,1.5,1.51,0.64,1.01,1.5,1.99,2.32,2.5,3.1
230,166643,91,2,7,2377,5,4,525,241693,8,13,51763906520738.82,57074654845399.56,272.61,68.72,1.34,76.26,77.58,9.56,0.94,0.99,203.17,297445786.3,6.0,38.19,0.52,0.82,8.58,4.0,13.0,36.0,70.0,70.0,0.4,11.49,5.45,5.43,2.33,3.53,5.45,7.35,8.51,9.07,9.89
231,88308,97,8,16,2549,8,7,84,248873,5,13,54320788861488.37,57780714508394.72,268.11,63.12,1.2,71.99,73.19,9.0,1.0,0.99,213.0,283741235.43,14.48,36.04,0.53,0.6,8.39,4.0,13.0,44.0,82.0,82.0,0.31,7.13,3.39,3.42,1.45,2.24,3.39,4.6,5.38,5.75,6.26
232,63151,42,8,10,2026,3,6,708,174992,6,11,54133447703330.17,59029521077748.66,276.95,67.57,0.88,76.35,77.19,19.18,1.0,0.99,187.0,314429238.97,0.0,76.66,0.57,0.69,17.5,4.0,11.0,38.0,71.0,71.0,0.32,7.92,3.96,3.96,1.72,2.55,3.96,5.39,6.26,6.65,7.19
233,78481,15,22,21,2801,4,7,688,164984,4,6,56680223851745.05,58670002197763.26,234.42,68.32,1.04,169.24,170.29,42.65,1.0,0.99,224.0,336504297.94,4405.78,85.07,0.49,0.6,33.61,2.0,6.0,49.0,96.0,96.0,0.35,5.05,2.63,2.62,1.12,1.68,2.63,3.56,4.12,4.36,4.69
234,254459,83,7,13,4760,1,7,30,20827,6,13,48227587240976.75,57945654896013.06,329.81,55.51,1.11,103.35,104.44,10.35,1.0,0.99,220.0,299947839.85,7.5,51.8,0.65,0.78,9.52,5.0,13.0,42.0,81.0,81.0,0.32,8.88,4.13,4.1,1.77,2.65,4.13,5.55,6.45,6.88,7.55
235,194528,30,21,21,1962,7,3,966,195148,3,14,59898151749363.98,57316380299812.02,281.49,63.19,1.77,51.99,53.76,26.05,1.0,0.99,203.36,247899656.56,13276.28,130.18,0.5,0.57,22.33,5.0,14.0,49.0,93.0,93.0,0.19,5.34,2.12,2.12,0.91,1.37,2.12,2.87,3.33,3.55,3.91
236,137548,26,21,11,4110,9,9,293,165366,2,12,57040969179832.82,62927824347260.53,260.23,69.73,2.05,174.59,176.64,29.23,1.0,0.99,237.0,332252495.77,15.7,116.84,0.46,0.58,25.62,4.0,12.0,39.0,87.0,87.0,0.18,5.01,1.54,1.57,0.71,1.03,1.54,2.04,2.41,2.67,3.83
237,183071,71,10,1,1248,9,4,176,78046,2,13,64970146035344.02,64247721382651.3,257.67,63.75,2.73,95.07,97.8,11.89,1.0,0.95,215.2,305976161.22,2142.0,59.46,0.61,0.75,11.3,5.0,13.0,29.0,68.0,68.0,0.19,5.25,1.63,1.65,0.7,1.12,1.63,2.12,2.5,2.75,3.71
238,160180,3,19,16,3807,4,8,199,50636,6,7,61849779663039.52,69977353641697.59,345.55,59.84,0.44,614.49,615.03,168.48,0.99,0.99,220.0,508736184.2,22364.14,309.6,0.25,0.3,120.53,2.0,7.0,44.0,90.0,90.0,0.27,9.04,3.97,3.91,1.75,2.49,3.97,5.33,6.14,6.51,7.66
239,145114,53,3,8,2858,2,2,314,178681,7,14,68045910712844.2,71291080594538.81,261.83,61.9,0.94,62.13,63.07,15.56,0.99,0.99,175.0,267307682.7,11617.02,77.76,0.56,0.73,14.13,5.0,14.0,36.0,64.0,64.0,0.33,9.11,4.5,4.54,2.02,2.88,4.5,6.21,7.29,7.77,8.39
240,222401,68,9,9,3025,8,9,580,242962,2,14,42386662867519.97,44939424584563.04,415.79,60.91,2.49,74.62,77.4,12.43,0.93,0.93,200.8,286518982.45,33.79,49.79,0.44,0.55,11.26,4.0,14.0,35.47,72.8,72.8,0.19,5.75,1.65,1.7,0.77,1.14,1.65,2.15,2.56,2.91,4.31
241,225313,23,11,20,2143,7,9,124,152817,7,11,63171924355833.27,57158624629291.54,328.72,61.32,0.77,191.97,192.68,32.18,0.99,1.0,218.0,333463297.21,17.38,128.59,0.52,0.61,28.07,4.0,11.0,49.53,91.0,90.53,0.36,8.93,4.47,4.49,1.99,2.84,4.47,6.14,7.17,7.62,8.22
242,131208,59,7,5,4588,1,7,210,18217,5,8,64479163808143.7,63534175983961.7,418.09,58.05,1.21,81.95,83.16,13.66,0.99,0.99,187.0,274795748.04,7495.63,40.94,0.63,0.77,12.74,3.0,8.0,33.0,66.0,66.0,0.42,6.68,3.32,3.34,1.41,2.17,3.32,4.51,5.24,5.59,6.06
243,109540,42,23,12,3210,2,1,728,21042,2,8,62451433149008.2,60068917655185.26,362.67,64.46,1.95,36.87,38.82,18.47,1.0,0.99,231.0,255754121.27,3480.75,55.44,0.6,0.73,16.6,3.0,8.0,41.0,91.0,91.0,0.2,5.09,1.53,1.56,0.69,1.03,1.53,2.02,2.36,2.58,3.68
244,147222,56,22,3,4928,8,8,321,212035,5,11,53799183213190.85,55487461261762.16,381.24,50.02,0.99,116.89,117.88,14.64,0.96,0.98,228.67,298767203.07,0.0,58.62,0.58,0.7,13.78,4.0,11.0,31.0,81.0,81.0,0.33,7.4,3.43,3.42,1.46,2.21,3.43,4.62,5.36,5.72,6.24
245,259840,18,17,5,3928,7,9,416,152458,4,9,57703646071217.76,61495898107774.65,651.79,56.28,0.84,232.88,233.71,39.07,1.0,0.98,222.0,360217402.9,16788.94,116.87,0.46,0.53,33.1,3.0,9.0,33.0,77.0,77.0,0.27,6.82,2.66,2.68,1.19,1.7,2.66,3.64,4.24,4.53,5.12
246,89335,63,8,3,1658,2,1,328,82995,1,6,67925640566047.68,62988996727191.32,204.93,63.35,1.39,25.03,26.45,12.53,1.0,0.99,184.0,229428037.39,0.0,25.03,0.58,0.73,11.53,2.0,6.0,32.0,67.0,67.0,0.36,4.34,1.39,1.42,0.53,1.03,1.39,1.75,2.03,2.24,3.16
247,223196,44,16,23,2349,5,8,865,15703,5,3,57262988618814.35,51708422739254.23,310.11,58.04,0.82,33.73,34.55,16.86,1.0,1.0,191.4,201612466.5,2.41,16.87,0.57,0.67,14.93,1.0,3.0,52.0,95.0,95.0,0.85,6.23,3.3,3.32,1.3,2.23,3.3,4.41,5.04,5.34,5.9
248,129533,46,11,3,2730,7,1,415,169178,1,8,67217593101892.91,63790521551948.17,251.29,66.68,2.12,34.04,36.16,17.04,0.97,0.98,183.0,263991763.79,0.0,51.16,0.58,0.8,15.42,3.0,8.0,31.0,65.0,65.0,0.27,4.34,1.37,1.4,0.52,1.01,1.37,1.74,2.04,2.23,2.93
249,244294,8,21,23,4348,1,3,629,176125,2,7,63159887252970.95,54610672250708.82,454.2,65.17,1.36,140.17,141.54,70.37,1.0,1.0,224.07,334172350.44,2327.06,139.09,0.39,0.44,55.16,2.0,7.0,52.0,100.0,100.0,0.19,3.91,1.43,1.43,0.61,0.93,1.43,1.91,2.22,2.38,2.84
250,101545,4,23,8,1802,7,9,908,30252,4,13,59112209411161.1,58960699444574.2,463.21,72.15,1.2,858.73,860.04,166.17,0.97,0.98,256.07,576556210.93,40415.06,609.46,0.26,0.27,101.47,5.0,13.0,37.0,90.0,90.0,0.16,5.01,2.52,2.49,1.14,1.52,2.52,3.45,4.03,4.25,4.55
251,170547,88,13,11,3993,6,4,655,18076,9,11,60924079788641.73,46443777408618.05,572.25,43.21,1.27,77.2,78.61,9.7,0.99,0.99,198.18,290526923.74,0.0,38.77,0.62,1.04,9.0,4.0,11.0,39.0,80.0,80.0,0.51,11.95,5.77,5.84,2.58,3.71,5.77,7.98,9.35,9.98,10.85
252,218295,47,20,2,595,5,5,534,188101,2,11,66472811003324.16,69607547301359.42,233.37,60.47,2.11,137.94,140.04,17.27,1.0,0.97,251.0,307229396.55,2557.58,69.03,0.56,0.71,15.57,4.0,11.0,31.0,83.0,83.0,0.19,4.63,1.54,1.55,0.64,1.04,1.54,2.02,2.36,2.55,3.14
253,186860,48,18,1,173,9,1,920,208525,8,4,65868412592892.2,56180528789950.41,501.82,58.55,0.78,29.98,30.76,14.99,1.0,0.96,200.11,228201759.41,0.0,14.99,0.44,0.76,13.78,1.0,4.0,29.0,71.0,71.0,1.0,9.39,5.16,5.18,2.14,3.37,5.16,7.0,8.05,8.58,9.1
254,229150,44,21,19,3883,2,5,561,145281,4,6,50807137445367.42,59302507962115.55,358.8,59.2,1.02,69.76,70.78,17.46,0.93,0.93,217.47,284217557.32,3578.41,34.88,0.55,0.65,14.98,2.0,6.0,44.8,91.47,91.47,0.39,6.02,2.72,2.72,1.14,1.77,2.72,3.66,4.22,4.49,4.88
255,97178,10,7,12,444,1,8,274,73331,2,8,53575550273625.61,55063763982509.38,387.13,65.83,1.9,361.71,363.61,61.58,0.99,0.99,199.0,334310316.46,2474.79,181.32,0.51,0.6,51.08,3.0,8.0,41.0,78.0,78.0,0.19,4.27,1.44,1.45,0.63,0.94,1.44,1.93,2.23,2.4,3.04
256,79805,14,4,10,3089,5,6,922,3314,1,13,53587286508156.37,49238720541627.31,271.17,55.22,3.55,194.97,198.58,49.08,0.98,0.99,177.14,319853001.67,9140.84,242.22,0.47,0.64,46.24,5.0,13.0,38.0,67.0,67.0,0.21,4.82,1.42,1.44,0.56,1.03,1.42,1.79,2.09,2.3,3.25
257,257772,38,2,4,2552,4,6,276,144566,8,4,60037553071458.83,65882595012557.15,276.16,61.37,1.45,73.45,74.9,18.36,0.98,0.99,166.0,199235160.82,2445.66,36.68,0.84,1.41,17.15,2.0,4.0,33.0,61.0,61.0,1.03,9.45,5.16,5.2,2.14,3.38,5.16,7.03,8.08,8.62,9.13
258,59081,66,11,3,4442,4,7,482,43345,8,12,45530082302193.11,44589356023913.62,347.11,64.04,1.12,101.07,102.19,12.66,1.0,0.98,229.0,298896669.54,4568.24,50.56,0.56,0.73,11.62,4.0,12.0,32.0,76.0,76.0,0.4,10.33,5.15,5.19,2.31,3.26,5.15,7.13,8.32,8.85,9.56
259,91126,14,8,21,3217,4,1,180,219455,8,8,52561416950657.98,56895140494189.81,418.41,64.47,0.96,93.67,94.6,46.92,0.99,1.0,186.0,322053955.24,18690.31,139.82,0.54,0.7,38.25,3.0,8.0,50.0,85.0,85.0,0.48,9.89,5.0,5.02,2.23,3.17,5.0,6.88,8.06,8.54,9.2
260,168508,22,4,21,2568,7,4,898,793,6,10,56072452557102.12,59785235864877.94,336.85,53.67,0.86,199.81,200.68,33.37,0.98,1.0,188.14,326472488.32,4370.01,100.1,0.43,0.49,29.21,3.0,10.0,49.0,81.79,81.79,0.33,7.99,3.91,3.91,1.72,2.48,3.91,5.34,6.21,6.6,7.14
261,197369,31,11,4,4961,7,4,825,47203,2,4,56355871745952.77,57566197149060.58,236.94,61.85,0.98,44.4,45.37,22.43,0.97,0.99,183.0,296062814.64,6154.6,22.42,0.41,0.49,19.27,1.0,4.0,32.0,68.0,68.0,0.29,3.8,1.47,1.47,0.58,1.0,1.47,1.93,2.21,2.36,2.89
262,161637,8,20,21,2163,2,6,58,56103,7,3,56787903546588.77,62668597201463.88,263.72,66.82,0.62,114.3,114.9,57.42,1.0,1.0,205.15,353830922.34,2597.46,57.35,0.52,0.65,39.58,1.0,3.0,49.0,93.0,93.0,0.98,8.33,4.47,4.47,1.84,2.89,4.47,6.06,6.92,7.23,8.0
263,233585,57,20,14,3411,2,2,484,61445,2,5,53053821897034.81,61634429694216.67,243.5,63.21,1.45,54.09,55.55,13.58,1.0,0.99,225.0,252258204.55,3514.65,27.15,0.72,0.86,12.16,2.0,5.0,43.0,90.0,90.0,0.29,4.43,1.53,1.55,0.63,1.05,1.53,2.0,2.32,2.53,3.36
264,233943,49,21,2,2853,2,4,781,119087,8,11,54521697882464.76,48572766936126.38,366.01,57.84,1.17,132.68,133.86,16.61,0.99,0.97,242.08,313017635.02,7860.6,66.45,0.59,0.82,15.07,4.0,11.0,30.0,79.0,79.0,0.43,10.61,5.23,5.24,2.27,3.38,5.23,7.12,8.28,8.81,9.55
265,72923,78,18,18,4856,7,2,294,226925,3,14,59492742504956.67,62336905394777.71,246.78,63.19,1.83,44.14,45.96,11.03,1.0,0.99,220.0,271169634.74,0.0,55.1,0.58,0.66,10.21,5.0,14.0,46.0,89.0,89.0,0.21,5.6,2.22,2.23,0.93,1.48,2.22,2.96,3.45,3.71,4.19
266,146669,56,9,23,4148,2,6,486,42154,4,9,66121106645112.4,66902679727655.59,360.88,62.81,1.27,57.85,59.11,14.49,1.0,1.0,188.0,294185727.13,6.0,43.48,0.55,0.64,13.28,3.0,9.0,51.0,86.0,86.0,0.3,6.06,2.76,2.76,1.17,1.8,2.76,3.72,4.31,4.6,5.04
267,119100,41,15,4,1778,4,3,499,193273,4,9,65109510274121.48,63501945435140.14,395.53,66.71,1.27,38.36,39.63,19.22,1.0,0.99,196.0,280529321.26,8671.6,57.64,0.53,0.62,16.58,3.0,9.0,32.0,70.93,70.93,0.31,7.67,2.78,2.8,1.23,1.81,2.78,3.75,4.37,4.7,5.83
268,169836,13,15,15,4455,1,1,178,4247,3,9,62559163041125.99,58596224554758.05,445.09,58.54,1.65,101.94,103.59,51.12,1.0,0.99,196.07,306671021.76,6908.47,152.02,0.45,0.51,40.66,3.0,9.0,43.0,81.0,81.0,0.22,6.14,2.09,2.11,0.94,1.35,2.09,2.83,3.29,3.54,4.54
269,25155,28,9,6,571,8,2,391,85858,1,5,58726769798139.08,60011748251551.95,282.0,67.8,1.56,101.07,102.64,25.32,1.0,0.99,180.0,303368222.77,7043.54,50.64,0.61,0.79,22.49,2.0,5.0,34.0,68.0,68.0,0.31,3.87,1.25,1.28,0.46,0.93,1.25,1.57,1.83,2.02,2.68
270,87979,88,12,21,3052,9,7,721,40905,7,8,62299053628825.59,59495599773807.72,203.64,67.58,0.66,38.32,38.99,9.58,1.0,1.0,216.0,249877678.54,0.0,19.2,0.45,0.52,8.77,2.0,8.0,50.0,93.0,93.0,0.55,9.17,4.68,4.68,1.97,3.06,4.68,6.31,7.31,7.77,8.39
271,187501,11,20,13,3890,5,5,810,32568,1,9,65808902828760.77,68129293277246.01,362.52,66.54,2.33,329.77,332.08,56.36,0.99,0.99,243.0,375903725.33,8898.46,165.82,0.43,0.55,45.79,3.0,9.0,42.0,92.0,92.0,0.2,3.9,1.26,1.28,0.48,0.92,1.26,1.59,1.87,2.08,2.73
272,141036,75,17,8,4059,5,7,930,255884,7,10,61175521845369.59,58577015376590.89,496.29,59.48,1.28,88.87,90.15,11.12,1.0,0.99,237.0,287622994.53,6.84,44.48,0.7,0.94,10.15,4.0,10.0,37.0,85.0,85.0,0.45,9.7,4.78,4.76,2.01,3.12,4.78,6.42,7.43,7.91,8.59
273,159174,99,2,5,2120,2,2,145,215118,1,7,66566386189293.06,60324802359384.82,265.4,63.51,2.06,33.77,35.83,8.45,0.99,0.99,177.0,223995430.85,3.81,25.33,0.75,1.03,6.7,3.0,7.0,34.0,65.0,65.0,0.35,4.23,1.46,1.49,0.53,1.08,1.46,1.83,2.15,2.36,3.04
274,258510,88,3,15,2644,5,3,596,120721,1,6,51824270273809.02,53262607242430.51,193.78,56.37,1.42,18.55,19.97,9.3,0.99,1.0,157.0,213192150.69,5.81,18.62,0.6,0.79,8.55,2.0,6.0,43.0,69.0,69.0,0.35,4.3,1.45,1.48,0.54,1.08,1.45,1.82,2.14,2.38,3.17
275,177894,22,8,20,2487,5,8,385,157944,5,12,68734647451592.09,58742004452522.32,260.8,61.29,1.22,269.44,270.65,33.9,0.99,1.0,220.0,338971239.99,18.17,135.42,0.47,0.53,28.96,4.0,12.0,49.0,89.0,89.0,0.26,6.82,3.19,3.23,1.44,2.04,3.19,4.42,5.19,5.53,5.99
276,147473,95,8,23,1455,9,8,711,254447,5,8,64193436531488.02,50680025064093.2,257.72,66.02,0.79,35.36,36.14,8.84,0.99,1.0,192.0,222011216.07,2.27,17.68,0.44,0.52,8.17,2.0,8.0,51.0,87.0,87.0,0.45,7.29,3.49,3.48,1.43,2.3,3.49,4.64,5.38,5.74,6.24
277,137201,74,9,10,849,5,5,386,70960,7,11,67259158719687.31,64808588305318.74,189.29,67.15,1.39,90.55,92.12,11.35,1.0,0.99,206.0,296996525.47,8.0,45.34,0.6,0.91,10.4,4.0,11.0,38.0,75.0,75.0,0.4,11.51,4.78,4.77,2.09,3.06,4.78,6.44,7.5,8.03,9.28
278,59245,69,6,22,168,4,8,263,52775,7,11,57333003511133.96,59352327194478.37,438.07,62.1,0.88,72.68,73.58,12.15,1.0,1.0,199.0,288664999.15,5693.63,36.48,0.46,0.55,11.1,3.0,11.0,50.0,86.0,86.0,0.42,10.21,4.76,4.75,2.02,3.1,4.76,6.41,7.45,7.93,8.65
279,143025,7,6,19,2778,6,5,590,141656,6,6,55147594389817.23,55605574050388.98,342.44,63.97,0.72,308.18,308.9,77.89,0.99,0.99,176.14,325633251.3,16505.72,154.57,0.45,0.53,63.78,2.0,6.0,47.0,78.0,78.0,0.43,7.4,3.87,3.84,1.66,2.45,3.87,5.24,6.06,6.41,6.87
280,68275,94,7,17,3730,9,2,530,252315,7,3,58590445254090.59,61988824634679.55,291.99,64.72,0.98,20.12,21.1,10.04,1.0,1.0,166.0,195469496.45,0.0,10.06,0.59,0.91,9.24,1.0,3.0,45.0,76.0,76.0,1.13,8.53,4.66,4.65,1.83,3.1,4.66,6.21,7.03,7.47,8.19
281,83840,61,2,17,276,3,6,615,78135,8,5,64810622142076.86,62667382801472.42,198.62,60.57,1.51,50.43,51.95,12.61,0.99,1.0,171.0,238527803.85,0.0,25.22,0.74,1.3,11.7,2.0,5.0,46.0,76.0,76.0,0.87,10.0,5.19,5.22,2.22,3.33,5.19,7.1,8.18,8.74,9.48
282,206985,89,12,3,3621,6,5,674,88778,4,8,58826295881342.17,60685010187531.44,372.87,57.0,0.78,37.6,38.39,9.4,1.0,0.99,204.0,248055277.46,3.12,18.78,0.45,0.5,8.65,2.0,8.0,31.0,71.0,71.0,0.36,7.41,2.8,2.82,1.2,1.84,2.8,3.76,4.39,4.71,5.49
283,210761,39,22,8,3649,9,1,748,213440,6,6,57577183271096.02,56427610789516.19,256.58,63.06,0.86,39.54,40.4,19.77,1.0,0.99,226.0,249132596.21,0.0,39.53,0.54,0.66,16.5,2.0,6.0,37.0,85.0,85.0,0.52,8.0,3.96,3.94,1.67,2.55,3.96,5.34,6.16,6.54,7.05
284,108951,35,5,1,4165,7,5,163,257194,9,6,49121200648469.74,61672951999420.91,449.19,61.74,0.91,85.82,86.73,21.47,0.99,0.94,173.09,279451913.88,5888.81,42.95,0.53,0.86,18.32,2.0,6.0,29.0,60.0,60.0,0.72,11.07,5.66,5.72,2.49,3.66,5.66,7.82,9.11,9.7,10.42
285,206623,30,5,23,4802,8,7,785,126399,4,9,59935656398326.95,62519057255800.44,321.81,68.38,0.81,152.28,152.99,25.42,0.99,1.0,186.07,333739077.55,21.59,76.19,0.52,0.57,22.65,3.0,9.0,51.0,83.0,83.0,0.29,6.24,2.72,2.72,1.18,1.74,2.72,3.69,4.27,4.55,5.0
286,28234,34,6,7,3730,5,8,227,214175,5,8,59531046746947.75,53495151289215.2,391.58,63.33,1.18,134.55,135.71,22.47,0.97,0.99,184.07,315794701.84,0.0,67.42,0.59,0.7,20.23,3.0,8.0,35.0,67.0,67.0,0.38,6.65,3.24,3.27,1.41,2.1,3.24,4.45,5.19,5.52,5.98
287,190882,54,13,11,1566,8,9,362,13240,5,13,58256268211448.55,50726176910809.24,477.04,65.01,0.96,91.0,91.95,15.23,1.0,0.99,226.0,293745364.53,815.22,60.94,0.49,0.59,13.77,4.0,13.0,40.0,83.0,83.0,0.28,6.9,3.36,3.38,1.44,2.2,3.36,4.55,5.32,5.68,6.17
288,225204,28,13,10,375,2,4,68,50111,4,10,53422042204844.89,54550242695625.04,376.93,65.03,1.22,161.3,162.49,27.11,1.0,0.99,227.0,311615770.35,25468.96,81.25,0.45,0.5,23.38,3.0,10.0,39.0,83.0,83.0,0.27,5.58,2.69,2.69,1.16,1.73,2.69,3.65,4.24,4.51,4.89
289,201613,18,14,22,3292,6,9,707,168197,1,8,49277658012136.54,49306048762638.19,347.56,59.88,1.52,148.15,149.66,37.29,1.0,1.0,210.0,333704311.04,4702.67,74.39,0.34,0.44,32.53,2.0,8.0,50.0,91.0,91.0,0.23,4.21,1.29,1.33,0.53,0.94,1.29,1.64,1.94,2.19,3.05
290,69524,16,17,12,353,8,4,806,215764,8,7,54993539263868.41,59290370516962.51,402.81,62.71,0.83,163.65,164.49,41.15,1.0,0.99,214.0,336122844.32,0.0,82.05,0.41,0.61,32.76,2.0,7.0,40.0,84.0,84.0,0.52,11.09,5.18,5.15,2.27,3.27,5.18,7.04,8.16,8.66,9.44
291,22524,46,16,9,2718,2,2,900,232056,5,11,49553816289319.61,55861575914107.09,290.38,69.55,0.99,70.62,71.62,17.69,1.0,0.99,223.0,304168659.32,0.0,70.78,0.57,0.66,16.02,4.0,11.0,38.0,82.0,82.0,0.31,7.54,3.38,3.38,1.46,2.17,3.38,4.58,5.33,5.68,6.22
292,127572,97,7,4,2469,8,5,54,23591,2,6,58371029541048.81,47591845913288.0,353.59,61.07,1.47,33.58,35.05,8.4,0.99,0.99,179.0,200874241.93,5.01,16.79,0.61,0.74,7.59,2.0,6.0,32.0,65.0,65.0,0.27,4.54,1.57,1.59,0.65,1.08,1.57,2.05,2.38,2.58,3.53
293,51465,43,18,17,3348,2,3,985,78502,3,8,65233308149229.05,52147805735964.57,468.99,57.44,1.01,36.91,37.92,18.48,1.0,1.0,204.0,246334983.81,4723.37,36.97,0.41,0.48,14.95,2.0,8.0,45.5,88.0,87.5,0.26,4.26,2.09,2.08,0.87,1.37,2.09,2.8,3.24,3.44,3.73
294,220787,21,5,19,4624,2,7,480,122732,3,10,56381195676061.88,64866884546491.46,310.55,63.61,1.65,206.62,208.29,34.62,0.99,1.0,191.0,312202733.17,19178.53,103.74,0.43,0.49,29.59,3.0,10.0,47.0,80.0,80.0,0.21,4.66,2.08,2.08,0.88,1.34,2.08,2.81,3.25,3.46,3.77
295,257566,95,23,6,1139,4,3,172,77218,3,13,56576625273347.17,53017699927171.74,283.12,63.22,1.53,18.22,19.75,9.11,0.93,0.93,220.27,203340873.24,0.0,36.43,0.52,0.66,8.15,4.0,13.0,32.67,79.33,79.33,0.22,5.09,2.23,2.22,0.91,1.48,2.23,2.95,3.42,3.65,4.01
296,69228,46,2,14,3153,4,2,993,242199,5,8,56159428538458.66,60796463409046.54,238.36,64.1,1.25,69.18,70.43,17.3,0.98,0.99,178.0,321808357.05,0.0,51.9,0.61,0.76,15.47,3.0,8.0,43.0,74.0,74.0,0.38,6.58,3.27,3.3,1.41,2.14,3.27,4.46,5.21,5.55,6.01
297,17504,96,9,18,2558,8,5,867,69645,6,5,48608381188407.28,50750865569786.01,176.08,65.98,0.57,37.08,37.69,18.62,1.0,1.0,182.0,255880704.75,0.0,18.64,0.31,0.4,18.23,1.0,5.0,46.0,81.0,81.0,0.59,7.88,3.95,3.93,1.65,2.56,3.95,5.32,6.12,6.51,7.06
298,80874,95,23,22,2832,8,6,882,198956,8,14,63784748125309.28,57546696883084.63,192.44,68.55,1.38,37.06,38.36,9.28,1.0,1.0,247.0,281055093.09,0.0,37.17,0.48,0.77,8.38,4.0,14.0,51.0,102.0,102.0,0.41,10.81,5.3,5.32,2.29,3.46,5.3,7.19,8.41,8.98,9.72
299,175776,6,12,15,2478,7,6,726,45687,9,11,53824342645029.5,63026000020873.45,237.09,62.21,0.58,429.06,429.64,109.63,0.99,0.99,199.0,389908335.61,18233.33,316.94,0.25,0.39,100.14,3.0,11.0,43.0,80.0,80.0,0.31,10.66,5.41,5.4,2.55,3.25,5.41,7.57,8.88,9.36,9.99
